Fecha_Anuncio,Cambio,Nivel_PostCambio,extraordinaria,Gobernador,Subgober1,Subgober2,Subgober3,Subgober4,Miembros_Votos,Votos_Favor,Disidentes
11/07/2014,0 ,3.00,no,Agustín Guillermo Carstens Carstens,Roberto del Cueto Legaspi,Manuel Sánchez González,Manuel Ramos Francia,Javier Eduardo Guzmán Calafell,5,5,
05/09/2014,0 ,3.00,no,Agustín Guillermo Carstens Carstens,Roberto del Cueto Legaspi,Manuel Sánchez González,Manuel Ramos Francia,Javier Eduardo Guzmán Calafell,5,5,
31/10/2014,0 ,3.00,no,Agustín Guillermo Carstens Carstens,Roberto del Cueto Legaspi,Manuel Sánchez González,Manuel Ramos Francia,Javier Eduardo Guzmán Calafell,5,5,
05/12/2014,0 ,3.00,no,Agustín Guillermo Carstens Carstens,Roberto del Cueto Legaspi,Manuel Sánchez González,Manuel Ramos Francia,Javier Eduardo Guzmán Calafell,5,5,
29/01/2015,0 ,3.00,no,Agustín Guillermo Carstens Carstens,Roberto del Cueto Legaspi,Manuel Sánchez González,Manuel Ramos Francia,Javier Eduardo Guzmán Calafell,5,5,
26/03/2015,0 ,3.00,no,Agustín Guillermo Carstens Carstens,Roberto del Cueto Legaspi,Manuel Sánchez González,Manuel Ramos Francia,Javier Eduardo Guzmán Calafell,5,5,
30/04/2015,0 ,3.00,no,Agustín Guillermo Carstens Carstens,Roberto del Cueto Legaspi,Manuel Sánchez González,Manuel Ramos Francia,Javier Eduardo Guzmán Calafell,5,5,
04/06/2015,0 ,3.00,no,Agustín Guillermo Carstens Carstens,Roberto del Cueto Legaspi,Manuel Sánchez González,Manuel Ramos Francia,Javier Eduardo Guzmán Calafell,5,5,
30/07/2015,0 ,3.00,no,Agustín Guillermo Carstens Carstens,Roberto del Cueto Legaspi,Manuel Sánchez González,Javier Eduardo Guzmán Calafell,,4,3,
21/09/2015,0 ,3.00,no,Agustín Guillermo Carstens Carstens,Roberto del Cueto Legaspi,Manuel Sánchez González,Manuel Ramos Francia,Javier Eduardo Guzmán Calafell,5,5,
29/10/2015,0 ,3.00,no,Agustín Guillermo Carstens Carstens,Roberto del Cueto Legaspi,Manuel Sánchez González,Manuel Ramos Francia,Javier Eduardo Guzmán Calafell,5,5,
17/12/2015,25 ,3.25,no,Agustín Guillermo Carstens Carstens,Roberto del Cueto Legaspi,Manuel Sánchez González,Manuel Ramos Francia,Javier Eduardo Guzmán Calafell,5,5,
04/02/2016,0 ,3.25,no,Agustín Guillermo Carstens Carstens,Roberto del Cueto Legaspi,Manuel Sánchez González,Manuel Ramos Francia,Javier Eduardo Guzmán Calafell,5,5,
17/02/2016,50 ,3.75,si,,,,,,0,0,
18/03/2016,0 ,3.75,no,Agustín Guillermo Carstens Carstens,Roberto del Cueto Legaspi,Manuel Sánchez González,Manuel Ramos Francia,Javier Eduardo Guzmán Calafell,5,5,
05/05/2016,0 ,3.75,no,Agustín Guillermo Carstens Carstens,Roberto del Cueto Legaspi,Manuel Sánchez González,Manuel Ramos Francia,Javier Eduardo Guzmán Calafell,5,5,
30/06/2016,50 ,4.25,no,Agustín Guillermo Carstens Carstens,Roberto del Cueto Legaspi,Manuel Sánchez González,Manuel Ramos Francia,Javier Eduardo Guzmán Calafell,5,5,
11/08/2016,0 ,4.25,no,Agustín Guillermo Carstens Carstens,Roberto del Cueto Legaspi,Manuel Sánchez González,Manuel Ramos Francia,Javier Eduardo Guzmán Calafell,5,5,
